player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
407890,2015,TEX,,17,9,33,33,204.667,142,42,26,2,1,0,211,106,114,2,5,11,0,861,0,2,11,14
407890,2016,TEX,,6,5,19,19,116.333,73,28,19,1,0,0,103,48,53,0,1,3,0,472,0,1,3,9
407892,2002,ATL,,0,0,1,0,1.333,1,4,0,0,0,0,1,1,1,0,0,0,0,9,0,0,0,0
407892,2004,CHN,,0,1,4,0,1.667,1,7,0,0,0,0,0,4,4,1,0,1,0,13,1,0,0,0
407894,2002,NYN,,0,3,25,0,43.333,33,12,7,0,0,0,53,27,29,4,1,3,0,194,13,0,3,3
407896,2003,CLE,,6,9,33,18,111.667,88,40,15,1,1,0,132,65,67,4,6,5,0,503,0,4,3,11
407896,2006,WAS,,4,3,15,8,43.333,25,14,5,0,0,0,53,31,33,2,0,8,0,202,0,3,1,4
407896,2007,WAS,,2,2,28,2,39.667,27,13,4,0,0,0,50,21,22,3,0,2,0,182,5,3,5,3
407896,2008,NYA,,0,0,19,0,16.667,11,7,3,0,0,0,23,13,13,1,2,2,0,80,3,0,0,1
407896,2009,BOS,,0,0,1,0,3.667,1,1,2,0,0,0,9,5,5,0,0,0,0,20,0,0,0,0
407900,2002,KCA,,4,7,31,21,123.333,58,64,17,0,0,0,136,70,73,2,7,3,0,557,7,2,6,15
407900,2003,KCA,,2,1,8,8,48.333,27,21,4,1,0,0,54,28,29,0,1,3,0,215,0,3,5,5
407900,2006,COL,,1,0,3,1,7.667,7,4,1,0,0,0,9,4,8,0,0,1,0,37,0,0,0,1
407901,2002,TBA,,2,7,31,14,99.333,48,54,16,0,0,0,88,61,63,0,5,2,0,434,10,0,5,6
407901,2003,TBA,,5,12,29,19,128.667,72,60,14,1,1,0,137,66,71,4,8,4,1,566,4,4,5,12
407901,2004,TBA,,4,7,43,8,99.333,94,54,17,0,0,1,100,61,67,3,2,1,0,447,6,2,4,8
407901,2005,ATL,,13,3,44,20,134.0,85,64,12,0,0,0,122,38,42,8,3,0,0,577,5,5,2,9
407901,2006,SLN,,3,11,45,13,118.0,75,40,30,0,0,4,138,71,79,6,2,1,0,524,12,7,4,9
407901,2007,NYN,,9,8,42,14,112.667,69,41,10,0,0,0,109,56,58,2,0,0,0,481,2,10,3,9
407901,2008,NYN,,4,1,20,0,21.667,12,11,4,0,0,0,30,17,23,4,2,0,0,107,8,3,0,1
407901,2009,WAS,,2,1,18,0,22.333,17,12,5,0,0,2,28,16,16,2,2,0,0,103,4,0,1,3
407901,2010,FLO,,2,3,22,2,36.667,19,18,4,0,0,0,39,19,22,4,2,0,0,165,4,1,2,2
407902,2002,TBA,,0,2,34,0,57.333,41,38,6,0,0,1,67,36,41,0,2,3,3,272,10,1,2,8
407903,2002,TOR,,2,3,43,1,68.0,56,45,11,0,0,0,65,33,34,2,4,2,0,310,5,1,0,3
407903,2003,TOR,,1,1,6,3,15.333,11,9,3,0,0,0,21,11,11,1,0,0,0,76,0,0,0,1
407906,2002,DET,,2,3,44,0,70.0,28,29,6,0,0,0,100,45,47,8,6,2,1,331,15,3,1,7
407907,2003,CIN,,0,0,2,0,2.0,1,1,1,0,0,0,5,4,4,0,0,0,0,12,1,0,0,0
407907,2004,CIN,,2,3,24,1,29.333,29,25,4,0,0,4,23,17,18,1,2,2,0,136,13,0,0,3
407907,2005,CIN,,0,1,16,0,14.333,9,11,4,0,0,0,18,13,15,0,1,2,0,76,5,1,1,0
407908,2005,ANA,,1,0,28,0,34.667,30,14,6,0,0,0,28,15,15,2,2,0,0,145,10,2,1,0
