key_mlbam,key_retro,key_bbref
110450,bailc001,baileco01
820622,baild101,
110449,baile101,baileed01
110442,bailf101,bailefr01
110440,bailg101,bailege01
456701,bailh001,baileho02
110445,bailh101,baileho01
110444,bailh102,baileha01
431158,bailj001,baileje01
110446,bailj101,baileji01
110448,bailk101,baileki01
110447,bailm001,bailema01
672275,bailp001,bailepa01
820618,bailp101,bailepe01
110441,bailr001,bailero01
110438,bails001,bailesc01
110439,bails101,bailesw01
110452,bails102,bailest01
820625,bailu101,baile03
110456,bainh001,baineha01
110455,bainl101,bainlo01
110458,baira101,bairdal01
110460,bairb101,bairdbo01
110457,baird001,bairdo01
110459,baird101,bairddo01
,bairj901,
820619,bairu101,baird02
488676,baisj001,baislje01
434117,bajej001,bajenje01
110463,bakea101,bakeral01
641329,bakeb001,bakerbr01
110491,bakeb101,bakerbi01
110464,bakeb102,bakerbo01
110466,bakec101,bakerch02
110465,bakec102,bakerch01
,bakec901,
110469,baked001,bakerdo01
110481,baked002,bakerdu01
671117,baked003,bakerda02
110467,baked101,bakerda01
110468,baked102,bakerde01
110462,baked103,bakenda01
827155,baked104,
110470,bakee101,bakerer01
820620,bakee102,bakered01
110474,bakef101,bakerfr03
110480,bakef102,bakerfr01
110472,bakef103,bakerfl01
110473,bakef104,bakerfr02
110471,bakeg101,bakerge02
110475,bakeg102,bakerge01
110476,bakeh101,bakerho01
820615,bakeh102,bakerhe01
425557,bakej001,bakerje03
434633,bakej002,bakerjo01
110479,bakej101,bakerje01
110461,bakej102,bakelje01
110477,bakej103,bakerja01
110478,bakej104,bakerje02
490319,bakej902,
110482,bakek101,bakerki01
663609,bakel001,bakerlu01
,bakel101,
110484,baken101,bakerno01
110483,baken102,bakerne01
110485,bakep101,bakerph01
820617,baker101,bakerru01
110486,bakes001,bakersc01
435044,bakes002,bakersc02
110487,bakes101,bakerst01
110490,baket101,bakertr01
110489,baket102,bakerto02
110488,baket103,bakerto01
132720,bakop001,bakopa01
666364,balaj001,balazjo02
110493,balaj101,balazjo01
110492,balam101,balasmi01
110494,balbs001,balbost01
110495,balcb101,balcebo01
593604,balda001,baldoal01
681460,baldb001,baldwbr01
110509,baldb101,baldwbi01
686948,baldd001,baldwdr01
110499,baldd101,baldwda01
110500,baldf101,baldwfr01
110502,baldh101,baldwha01
110501,baldh102,baldwhe01
110504,baldj001,baldwje01
110503,baldj002,baldwja01
110496,baldj101,baldsja01
110498,baldk101,baldwki01
110497,baldl101,baldwla01
110505,baldm101,baldwma01
110506,baldo101,baldwo.01
408306,baldr001,baldero01
110508,baldr101,baldwri01
110507,baldr102,baldwre01
820614,baldt101,baldwti01
820613,baldu101,baldw02
444446,balec001,balesco01
150469,balej001,balejo01
110511,balel101,balesle01
110510,balem101,balenmi01
434605,balew001,balenwl01
346797,balfg001,balfogr01
110512,balla101,ballar01
665576,ballb901,
,balld101,
,ballf901,
110517,ballj001,balleja01
110515,ballj002,ballaje01
133440,ballj003,ballje01
110514,ballj101,ballji01
,balll901,
694208,ballm001,ballemo01
110518,ballm101,ballima01
110513,balln101,ballne01
110516,ballp101,ballepe01
820610,ballp102,sanmape01
110519,ballw101,ballowi01
820609,ballw102,ballwa01
429382,balsd801,
110520,balst101,balsato01
110521,bambg101,bambege01
110522,bambh101,bambeha01
110524,bancd101,bancrda01
492616,bancf801,bancrfr99
110523,bancs101,banckst01
607455,banda001,bandaan01
110525,bandc001,bandoch01
542908,bandj001,bandyje01
110526,bands101,bandosa01
110528,baned101,baneydi01
110527,banee101,baneed01
677943,banfw001,banfiwi01
110529,banij001,banisje01
110532,bankb001,banksbr01
110537,bankb101,banksev01
110535,bankb102,banksbi01
110530,bankd101,bankhda01
110533,banke101,bankser01
820606,bankf101,bankhfr01
820603,bankf102,
110534,bankg101,banksge01
820604,bankg102,
457468,bankj001,banksjo01
820605,bankn101,banksno01
110531,banks001,bankhsc01
820607,banks101,bankhsa01
621383,bankt001,banksta01
820600,banku101,banks02
110536,bankw001,bankswi01
457821,bankw002,bankswe01
110539,banna001,bannial01
446454,bannb001,bannibr01
110540,bannf001,bannifl01
110541,bannj101,bannoji01
110538,bannj102,banniji01
676625,bannr001,bannory01
110542,bannt101,bannoto01
572702,bantb001,bantzbr01
110543,bantj101,bantaja01
675915,banud001,banueda01
544365,banum001,banuema01
136270,baptt001,baptitr01
670056,barac001,baragca01
820602,baram101,
150148,barar001,barajro01
110554,barbb001,barbebr01
110548,barbb002,barbebr02
820597,barbb101,barbobu01
820601,barbb102,barbebu01
110549,barbc101,barbech01
110547,barbd101,barbeda01
110553,barbf101,barbefr01
592127,barbj001,barbajo01
110546,barbj101,barbeja01
110555,barbj102,barbiji01
820599,barbj103,barbeje01
820598,barbl101,barbela01
110545,barbr101,barbare01
110551,barbs101,barbest02
110550,barbs102,barbest01
820595,barbs103,barbesa01
503493,barbs901,
110552,barbt101,barbetu01
110544,barbw101,barbawa01
110556,barcc101,barclcu01
110557,barcg101,barclge01
682995,barch001,barcohu01
150311,barcl001,barcelo01
449471,bardb001,bardebr01
453268,bardd001,bardda01
408036,bardj001,bardjo01
572703,bardl001,bardlu01
110558,barer101,barera01
110561,barfc101,barfocl01
110559,barfj001,barfije01
110560,barfj002,barfijo01
429662,barfj003,barfijo02
680718,barga001,bargead01
110563,bargc101,bargecy01
110562,bargg001,bargagr01
406723,barka001,barkean01
110565,barka101,barkeal01
110564,barkb001,barkbr01
133200,barkb002,barklbr01
150058,barkg001,barkegl01
